sku_id,brand_canonical,source_kind,source_page_url,evidence,rights_note,fit_score,next_action
S001,Auchentoshan 12 Year Old,official_brand,https://www.auchentoshan.com/core-range/12-year-old-double-cask,product page includes bottle image,needs permission or media-kit confirmation,high,front bottle image on brand page
S002,Auchentoshan American Oak,official_brand,https://www.auchentoshan.com/core-range/american-oak,product page includes bottle image,needs permission or media-kit confirmation,high,front bottle image on brand page
S003,Glenfiddich 18 Year Old,official_brand,https://www.glenfiddich.com/en-us/18-year-old/,product page includes bottle image,needs permission or media-kit confirmation,high,official product bottle image
S005,The Balvenie DoubleWood 12,official_brand_shop,https://shop.us.thebalvenie.com/products/the-balvenie-doublewood-12,shop page includes bottle image,needs permission or media-kit confirmation,high,official shop packshot
S006,Aberlour 12 Double Cask,official_brand,https://www.aberlour.com/en-us/our-whisky/12-year-old-scotch-whisky/,product page includes image area,needs permission or media-kit confirmation,high,official brand page
S007,The Singleton of Dufftown 12 Year Old,official_brand,https://www.malts.com/en/products/the-singleton-of-dufftown-12-year-old-single-malt-scotch-whisky-70cl,product page includes front bottle and back bottle,needs permission or media-kit confirmation,high,Diageo/Malts product page
S008,The Macallan Double Cask 12,official_brand,https://www.themacallan.com/en/single-malt-scotch-whisky/double-cask-12-years-old,product page includes bottle/pack images,needs permission or media-kit confirmation,high,official brand page
S010,Glenmorangie The Original 10,official_brand,https://www.glenmorangie.com/en-de/products/the-original,product page includes image and product details,needs permission or media-kit confirmation,medium,age-gated official page; verify current packshot
S011,Lagavulin 16 Year Old,official_brand,https://www.malts.com/en-us/products/lagavulin-16-year-old-single-malt-scotch-whisky-750ml,product page includes front bottle and back bottle,needs permission or media-kit confirmation,high,Diageo/Malts front bottle
S014,Laphroaig 10 Year Old,official_brand,https://www.laphroaig.com/whiskies/heart-of-laphroaig-set,page includes Laphroaig 10 bottle image in set,needs permission or media-kit confirmation,medium,official page but image is lifestyle/coastal; prefer media-kit
S016,Teeling Single Malt,official_brand,https://www.teelingwhiskey.com/us/en/teeling-whiskeys/single-malt-irish-whiskey/,product page includes Single Malt references and imagery,needs permission or media-kit confirmation,medium,verify current bottle packshot
S017,Bushmills 10 Year Old Single Malt,official_brand,https://www.bushmills.eu/whiskeys/10-year/,product page includes Bushmills 10 bottle image,needs permission or media-kit confirmation,high,official brand page
S017,Bushmills 10 Year Old Single Malt,wikimedia_cc,https://commons.wikimedia.org/wiki/File:Bushmills_10_Years_Old_Single_Malt.JPG,"licensed photo, original 3456x5184",CC BY-SA 3.0 attribution/sharealike required,medium,backup if official permission unavailable
S018,Jack Daniel's Single Barrel Select,official_brand_shop,https://shop.jackdaniels.de/jack-daniel-s-single-barrel-select.html,product page includes bottle images,needs permission or media-kit confirmation,high,official German shop packshot
S020,Maker's Mark,official_brand,https://www.makersmark.com/bourbons,collection page includes classic bottle image,needs permission or media-kit confirmation,high,official product lineup
S020,Maker's Mark,unsplash_free,https://unsplash.com/photos/photo-of-makers-mark-bottle-NCUY8kbyFoE,photo page states Unsplash license,Unsplash license; still avoid implying brand endorsement,medium,"backup photo, not clean packshot"
S025,Dewar's 15 The Monarch,official_brand,https://www.dewars.com/us/en/dewars-whiskies/dewars-15-year-old-whisky/,product page includes optimized packshot,needs permission or media-kit confirmation,high,official packshot
S026,Chivas Regal 15 Year Old,official_brand,https://www.chivas.com/en-us/collection/chivas-xv/,product page for Chivas XV 15,needs permission or media-kit confirmation,high,official product page
S026,Chivas Regal 15 Year Old,official_distributor_packshot,https://wecommerce.pernod-ricard.com/products/product?id=PRPECOM004023&market=en_UK,download packshot section visible,likely B2B packshot; check terms/login,high,promising for direct packshot
S029,Ron Zacapa Centenario 23,official_brand,https://www.zacaparum.com/en-us/rums/zacapa-23-centenario,official product page,needs permission or media-kit confirmation,high,official brand page
S029,Ron Zacapa Centenario 23,wikimedia_cc,https://commons.wikimedia.org/wiki/File:Ron_Zacapa_Centenario_23_anos.jpg,"licensed photo, low resolution 710x700",CC BY-SA 2.0 attribution/sharealike required,low,backup only; old/low-res
S032,Diplomatico Reserva Exclusiva,official_brand,https://www.rondiplomatico.com/product/reserva-exclusiva/,official product page with imagery,needs permission or media-kit confirmation,medium,official page; verify packshot extractability
S034,Havana Club Anejo 7 Anos,official_brand,https://havana-club.com/en/our-rum/havana-club-7/,official product page includes multiple images,needs permission or media-kit confirmation,high,official brand page
S035,Legendario Elixir de Cuba,official_importer,https://www.legendario.ca/products/,importer product page includes Elixir image,needs permission or distributor confirmation,medium,Canadian importer; ask for media kit
S036,Legendario Anejo Blanco,official_brand,https://legendario.com/productos/ron-anejo-blanco/,official product page,needs permission or media-kit confirmation,medium,official brand page
S038,Negrita Spiced Golden Rum,official_brand,https://www.negrita.fr/,brand range page includes bottle images,needs permission or media-kit confirmation,medium,verify exact Spiced Golden match
S041,Hennessy XO,official_brand,https://us.hennessy.com/en-us/collection/hennessy-xo,official product page with multiple images,needs permission or media-kit confirmation,high,official brand page
S041,Hennessy XO,wikimedia_cc,https://commons.wikimedia.org/wiki/File:Hennessy_XO_(34071154281).jpg,"licensed photo, 5472x3648",CC BY 2.0 attribution required,medium,"backup photo, not transparent packshot"
S050,Jagermeister,official_brand,https://www.jagermeister.com/products/jagermeister,official product page,needs permission or media-kit confirmation,medium,official page but not clean packshot in text extract
S051,Monkey 47 Schwarzwald Dry Gin,wikimedia_cc,https://commons.wikimedia.org/wiki/File:Monkey_47_-_Schwarzwald_Dry_Gin_-_Packshot.jpg,"packshot, original 4992x6666",CC BY-SA 4.0 attribution/sharealike required,high,clean packshot candidate
S052,Roku Gin,official_brand,https://house.suntory.com/roku-gin,official brand page,needs permission or media-kit confirmation,medium,manual verification needed
S053,Bombay Sapphire,official_media_centre,https://bombaysapphire.bacardilimited.com/drives/view-new/47?folder_id=4781,Bacardi media centre with downloadable image assets,check media centre terms before use,high,strong media-kit candidate
S053,Bombay Sapphire,official_brand,https://www.bombaysapphire.com/us/en/products/bombay-sapphire/,official product page,needs permission or media-kit confirmation,high,official brand page
