sku_id,menu_name,brand_canonical,primary_source_kind,primary_source_page_url,backup_source_url,asset_status,next_asset_action,confidence,notes
S001,Aukentoshan 12,Auchentoshan 12 Year Old,official_brand,https://www.auchentoshan.com/core-range/12-year-old-double-cask,,source_found,need_extract_image_url,high,official product page has bottle image; request media kit if direct file not accessible
S002,Aukentoshan American Oak,Auchentoshan American Oak,official_brand,https://www.auchentoshan.com/core-range/american-oak,,source_found,need_extract_image_url,high,official product page has bottle image; age/3 years in menu needs fact verification
S003,Glenfiddich 18,Glenfiddich 18 Year Old,official_brand,https://www.glenfiddich.com/en-us/18-year-old/,,source_found,need_extract_image_url,high,official page has bottle image and tasting notes
S005,Balvenie Double Wood 12,The Balvenie DoubleWood 12,official_brand_shop,https://shop.us.thebalvenie.com/products/the-balvenie-doublewood-12,,source_found,need_extract_image_url,high,official shop product page has packshots
S006,Aberlour 12,Aberlour 12 Double Cask,official_brand,https://www.aberlour.com/en-us/our-whisky/12-year-old-scotch-whisky/,,source_found,need_extract_image_url,high,official product page; good source for facts and image
S007,Singlton Dufftown 12,The Singleton of Dufftown 12 Year Old,official_brand,https://www.malts.com/en/products/the-singleton-of-dufftown-12-year-old-single-malt-scotch-whisky-70cl,,source_found,need_extract_image_url,high,official Malts/Diageo page has front and back bottle images
S008,Macallan 12,The Macallan Double Cask 12,official_brand,https://www.themacallan.com/en/single-malt-scotch-whisky/double-cask-12-years-old,,source_found,need_extract_image_url,high,official product page; verify current packaging 2018-2024/new
S010,Glenmorangie The Original 10,Glenmorangie The Original 10,official_brand,https://www.glenmorangie.com/en-de/products/the-original,,source_found,need_extract_image_url,medium,official page is age-gated/region-specific; media kit preferred
S011,Lagavulin 16,Lagavulin 16 Year Old,official_brand,https://www.malts.com/en-us/products/lagavulin-16-year-old-single-malt-scotch-whisky-750ml,,source_found,need_extract_image_url,high,official Malts/Diageo page has front bottle image; height already filled
S014,Laphroaig 10,Laphroaig 10 Year Old,official_brand,https://www.laphroaig.com/whiskies/heart-of-laphroaig-set,,partial_source_found,request_media_kit_or_own_photo,medium,official page includes 10 year old in set/lifestyle; clean packshot still needed
S016,Teeling Single Malt,Teeling Single Malt,official_brand,https://www.teelingwhiskey.com/us/en/teeling-whiskeys/single-malt-irish-whiskey/,,source_found,need_extract_image_url,medium,official page found; verify exact current Single Malt bottle
S017,Bushmills 10,Bushmills 10 Year Old Single Malt,official_brand,https://www.bushmills.eu/whiskeys/10-year/,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bushmills_10_Years_Old_Single_Malt.JPG,source_found_with_cc_backup,prefer_official_or_use_cc_with_attribution,high,official page plus CC BY-SA 3.0 backup image
S018,Jack Daniels Single Barrel,Jack Daniel's Single Barrel Select,official_brand_shop,https://shop.jackdaniels.de/jack-daniel-s-single-barrel-select.html,,source_found,need_extract_image_url,high,official brand shop page has bottle images
S020,Maker's Mark,Maker's Mark,official_brand,https://www.makersmark.com/bourbons,https://unsplash.com/photos/photo-of-makers-mark-bottle-NCUY8kbyFoE,source_found_with_unsplash_backup,prefer_official_or_use_unsplash_backup,high,official product lineup plus Unsplash fallback; fallback not clean packshot
S025,Dewars 15,Dewar's 15 The Monarch,official_brand,https://www.dewars.com/us/en/dewars-whiskies/dewars-15-year-old-whisky/,,source_found,need_extract_image_url,high,official page includes optimized packshot
S026,Chivas Regal 15,Chivas Regal 15 Year Old,official_distributor_packshot,https://wecommerce.pernod-ricard.com/products/product?id=PRPECOM004023&market=en_UK,https://www.chivas.com/en-us/collection/chivas-xv/,source_found_packshot,try_packshot_download_or_request_access,high,Pernod Ricard page shows download packshot; official Chivas XV page as backup
S029,Zacapa 23,Ron Zacapa Centenario 23,official_brand,https://www.zacaparum.com/en-us/rums/zacapa-23-centenario,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ron_Zacapa_Centenario_23_anos.jpg,source_found_with_cc_backup,prefer_official_or_use_cc_with_attribution,high,official page plus old/low-res CC BY-SA 2.0 backup
S032,Diplomatico Reserva Exclusiva,Diplomatico Reserva Exclusiva,official_brand,https://www.rondiplomatico.com/product/reserva-exclusiva/,,source_found,need_extract_image_url,medium,official page has product imagery; extraction/manual verification needed
S033,Lamas Cigar Double Cask,Lamas Cigar Blend Double Cask,retailer_distributor,https://ast.wine/catalog/product/rum_lamas_cigar_rum_double_cask_7891575331315_39604/,https://vinoteki.ru/product/rom-lamas-cigar-double-cask-075l/,partial_source_found,request_supplier_media_kit_or_own_photo,medium,retailer pages have image and facts; for publishing ask supplier/importer or shoot own bottle
S034,Havana Club Anejo 7,Havana Club Anejo 7 Anos,official_brand,https://havana-club.com/en/our-rum/havana-club-7/,,source_found,need_extract_image_url,high,official product page has multiple images
